Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB,Error_pct
2023,5,"aguascalientes, ags.","corea, rep. (sur)",hombre,4,3.0017715,25.0
2023,6,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,3.074699,2.5
2023,7,"aguascalientes, ags.","corea, rep. (sur)",hombre,7,2.723109,61.1
2023,8,"aguascalientes, ags.","corea, rep. (sur)",hombre,1,3.569446,256.9
2023,9,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,2.5780108,14.1
2023,10,"aguascalientes, ags.","corea, rep. (sur)",hombre,8,2.82642,64.7
2023,11,"aguascalientes, ags.","corea, rep. (sur)",hombre,2,3.5243635,76.2
2023,12,"aguascalientes, ags.","corea, rep. (sur)",hombre,5,2.6370707,47.3
2023,3,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.5082483,50.8
2023,5,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.4088483,40.9
2023,6,"aguascalientes, ags.","corea, rep. (sur)",mujer,2,1.4435186,27.8
2023,7,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.7466184,74.7
2023,8,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.5962759,59.6
2023,10,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.5461426,54.6
2023,6,"aguascalientes, ags.",costa rica,hombre,1,1.3355964,33.6
2023,3,"aguascalientes, ags.",croacia,hombre,2,1.1478083,42.6
2023,8,"aguascalientes, ags.",dinamarca,hombre,1,1.5321963,53.2
2023,9,"aguascalientes, ags.",dinamarca,hombre,1,1.5114582,51.1
2023,11,"aguascalientes, ags.",dinamarca,hombre,3,1.6445241,45.2
2023,12,"aguascalientes, ags.",dinamarca,hombre,2,1.4978245,25.1
2023,11,"aguascalientes, ags.",dinamarca,mujer,2,1.2698705,36.5
2023,12,"aguascalientes, ags.",dinamarca,mujer,2,1.209701,39.5
2023,4,"aguascalientes, ags.","dominicana, rep.",hombre,1,1.6089847,60.9
2023,8,"aguascalientes, ags.","dominicana, rep.",hombre,1,1.4452825,44.5
2023,6,"aguascalientes, ags.","dominicana, rep.",mujer,1,1.3292578,32.9
2023,1,"aguascalientes, ags.",ecuador,hombre,2,1.2404743,38.0
2023,2,"aguascalientes, ags.",ecuador,hombre,1,1.401011,40.1
2023,4,"aguascalientes, ags.",ecuador,hombre,2,1.5799017,21.0
2023,12,"aguascalientes, ags.",ecuador,hombre,2,1.3839924,30.8
2023,5,"aguascalientes, ags.",ecuador,mujer,1,1.2130657,21.3
2023,11,"aguascalientes, ags.",el salvador,hombre,1,1.3020271,30.2
2023,2,"aguascalientes, ags.",el salvador,mujer,1,1.1644961,16.4
2023,5,"aguascalientes, ags.",el salvador,mujer,1,1.1995821,20.0
2023,9,"aguascalientes, ags.",el salvador,mujer,1,1.213831,21.4
2023,11,"aguascalientes, ags.",el salvador,mujer,2,1.2491044,37.5
2023,1,"aguascalientes, ags.",espana,hombre,2,2.8447447,42.2
2023,2,"aguascalientes, ags.",espana,hombre,1,2.7261226,172.6
2023,3,"aguascalientes, ags.",espana,hombre,4,1.9205706,52.0
2023,4,"aguascalientes, ags.",espana,hombre,4,2.544756,36.4
2023,5,"aguascalientes, ags.",espana,hombre,3,2.9074283,3.1
2023,6,"aguascalientes, ags.",espana,hombre,4,2.6392422,34.0
2023,7,"aguascalientes, ags.",espana,hombre,8,3.0483465,61.9
2023,8,"aguascalientes, ags.",espana,hombre,4,4.592919,14.8
2023,9,"aguascalientes, ags.",espana,hombre,4,4.2959943,7.4
2023,10,"aguascalientes, ags.",espana,hombre,5,6.010661,20.2
2023,11,"aguascalientes, ags.",espana,hombre,4,3.775428,5.6
2023,12,"aguascalientes, ags.",espana,hombre,2,3.4845483,74.2
2023,3,"aguascalientes, ags.",espana,mujer,2,2.1532962,7.7
2023,4,"aguascalientes, ags.",espana,mujer,3,2.788801,7.0
2023,5,"aguascalientes, ags.",espana,mujer,3,2.0926304,30.2
2023,6,"aguascalientes, ags.",espana,mujer,1,2.162749,116.3
2023,7,"aguascalientes, ags.",espana,mujer,5,2.0086918,59.8
2023,8,"aguascalientes, ags.",espana,mujer,3,2.8205004,6.0
2023,10,"aguascalientes, ags.",espana,mujer,2,2.7001688,35.0
2023,11,"aguascalientes, ags.",espana,mujer,3,3.7117631,23.7
2023,12,"aguascalientes, ags.",espana,mujer,4,2.1470647,46.3
2023,1,"aguascalientes, ags.",estados unidos,hombre,2244,1928.7458,14.0
2023,2,"aguascalientes, ags.",estados unidos,hombre,2037,1757.554,13.7
2023,3,"aguascalientes, ags.",estados unidos,hombre,2473,2139.0325,13.5
2023,4,"aguascalientes, ags.",estados unidos,hombre,2847,2813.957,1.2
2023,5,"aguascalientes, ags.",estados unidos,hombre,3060,2690.9438,12.1
2023,6,"aguascalientes, ags.",estados unidos,hombre,3298,3734.4412,13.2
2023,7,"aguascalientes, ags.",estados unidos,hombre,3597,3687.0686,2.5
2023,8,"aguascalientes, ags.",estados unidos,hombre,2558,2634.0527,3.0
2023,9,"aguascalientes, ags.",estados unidos,hombre,2518,2570.492,2.1
2023,10,"aguascalientes, ags.",estados unidos,hombre,2703,3368.101,24.6
2023,11,"aguascalientes, ags.",estados unidos,hombre,2678,3215.174,20.1
2023,12,"aguascalientes, ags.",estados unidos,hombre,3699,3805.9045,2.9
2023,1,"aguascalientes, ags.",estados unidos,mujer,2025,1707.5452,15.7
2023,2,"aguascalientes, ags.",estados unidos,mujer,1748,1687.1473,3.5
2023,3,"aguascalientes, ags.",estados unidos,mujer,2445,1784.3939,27.0
2023,4,"aguascalientes, ags.",estados unidos,mujer,2540,2652.1047,4.4
2023,5,"aguascalientes, ags.",estados unidos,mujer,2801,2586.7656,7.6
2023,6,"aguascalientes, ags.",estados unidos,mujer,3872,3874.22,0.1
2023,7,"aguascalientes, ags.",estados unidos,mujer,3743,4243.443,13.4
2023,8,"aguascalientes, ags.",estados unidos,mujer,2461,2492.7568,1.3
2023,9,"aguascalientes, ags.",estados unidos,mujer,2275,2357.8066,3.6
2023,10,"aguascalientes, ags.",estados unidos,mujer,2471,2844.622,15.1
2023,11,"aguascalientes, ags.",estados unidos,mujer,2342,2876.5293,22.8
2023,12,"aguascalientes, ags.",estados unidos,mujer,3352,3513.9468,4.8
2023,1,"aguascalientes, ags.",filipinas,hombre,1,1.4579704,45.8
