Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,6,"aguascalientes, ags.",estados unidos,hombre,3298,3294.0225,0.1
2023,7,"aguascalientes, ags.",estados unidos,hombre,3597,3511.4873,2.4
2023,8,"aguascalientes, ags.",estados unidos,hombre,2558,2502.5886,2.2
2023,9,"aguascalientes, ags.",estados unidos,hombre,2518,2361.6633,6.2
2023,10,"aguascalientes, ags.",estados unidos,hombre,2703,2886.851,6.8
2023,11,"aguascalientes, ags.",estados unidos,hombre,2678,3066.385,14.5
2023,12,"aguascalientes, ags.",estados unidos,hombre,3699,3740.0632,1.1
2023,1,"aguascalientes, ags.",estados unidos,mujer,2025,2128.0652,5.1
2023,2,"aguascalientes, ags.",estados unidos,mujer,1748,1788.4858,2.3
2023,3,"aguascalientes, ags.",estados unidos,mujer,2445,1971.3422,19.4
2023,4,"aguascalientes, ags.",estados unidos,mujer,2540,2434.4688,4.2
2023,5,"aguascalientes, ags.",estados unidos,mujer,2801,2430.7551,13.2
2023,6,"aguascalientes, ags.",estados unidos,mujer,3872,3599.4983,7.0
2023,7,"aguascalientes, ags.",estados unidos,mujer,3743,3844.536,2.7
2023,8,"aguascalientes, ags.",estados unidos,mujer,2461,2353.752,4.4
2023,9,"aguascalientes, ags.",estados unidos,mujer,2275,2218.9612,2.5
2023,10,"aguascalientes, ags.",estados unidos,mujer,2471,2672.3127,8.1
2023,11,"aguascalientes, ags.",estados unidos,mujer,2342,2645.2275,12.9
2023,12,"aguascalientes, ags.",estados unidos,mujer,3352,3554.0234,6.0
2023,1,"aguascalientes, ags.",filipinas,hombre,1,1.608238,60.8
